,PRV,totalKMS,totalFUEL,mileage,Total Days,KMs per day,District,FuelperDay
0,1,6575.0,564.97,11.63778607713684,100,65.75,Agra,5.6497
1,5,1705.0,240.0,7.104166666666667,29,58.793103448275865,Agra,8.275862068965518
2,11,9256.0,951.75,9.725242973469923,131,70.65648854961832,Agra,7.265267175572519
3,13,9453.0,894.96,10.562483239474389,126,75.02380952380952,Agra,7.102857142857143
4,14,10819.0,1056.37,10.241676685252328,131,82.58778625954199,Agra,8.063893129770992
5,15,10560.0,1011.98,10.434988833771419,133,79.3984962406015,Agra,7.608872180451128
6,17,11490.0,1070.01,10.738217399837385,129,89.06976744186046,Agra,8.294651162790698
7,21,6470.0,655.0,9.877862595419847,127,50.94488188976378,Agra,5.15748031496063
8,22,16957.0,1374.03,12.341069700079329,130,130.43846153846152,Agra,10.569461538461539
9,24,8540.0,709.98,12.028507845291417,133,64.21052631578948,Agra,5.338195488721805
10,30,10615.0,1000.04,10.614575416983321,124,85.60483870967742,Agra,8.064838709677419
11,35,11677.0,1079.99,10.81213714941805,131,89.13740458015268,Agra,8.244198473282443
12,36,8124.0,714.97,11.362714519490329,117,69.43589743589743,Agra,6.110854700854701
13,38,5235.0,574.96,9.104981216084596,108,48.47222222222222,Agra,5.323703703703704
14,45,17630.0,1266.19,13.92366074601758,131,134.5801526717557,Agra,9.66557251908397
15,47,14642.0,1182.07,12.386745285812177,132,110.92424242424242,Agra,8.955075757575758
16,48,14718.0,1095.01,13.440973141797793,130,113.21538461538462,Agra,8.423153846153847
17,51,15304.0,1204.48,12.705897980871413,133,115.06766917293233,Agra,9.05624060150376
18,54,16075.0,1259.05,12.767562845002185,131,122.70992366412214,Agra,9.611068702290076
19,58,15838.0,1277.33,12.39930166832377,129,122.7751937984496,Agra,9.901782945736434
20,60,15921.0,1270.0,12.536220472440945,132,120.61363636363636,Agra,9.621212121212121
21,64,15825.0,1247.8899999999999,12.681406213688708,131,120.80152671755725,Agra,9.525877862595419
22,65,14847.0,1165.03,12.743877840055621,128,115.9921875,Agra,9.101796875
23,67,15566.0,1190.04,13.080232597223624,131,118.82442748091603,Agra,9.084274809160306
24,68,12102.0,980.1499999999999,12.3470897311636,132,91.68181818181819,Agra,7.4253787878787865
25,71,16093.0,1213.92,13.257051535521285,133,121.0,Agra,9.127218045112782
26,72,13901.0,1024.91,13.563142129552837,131,106.1145038167939,Agra,7.823740458015267
27,74,5615.0,586.97,9.56607663083292,125,44.92,Agra,4.69576
28,76,4684.0,396.63,11.809494995335703,123,38.08130081300813,Agra,3.2246341463414634
29,78,8430.0,916.8599999999999,9.194424448661739,131,64.35114503816794,Allahabad,6.998931297709923
30,81,9837.0,929.3,10.585386850317445,129,76.25581395348837,Allahabad,7.203875968992247
31,82,9260.0,905.1400000000001,10.230461586052986,131,70.68702290076335,Allahabad,6.909465648854963
32,83,7494.0,760.0,9.860526315789473,127,59.00787401574803,Allahabad,5.984251968503937
33,84,8049.0,750.41,10.726136378779602,126,63.88095238095238,Allahabad,5.95563492063492
34,86,10020.0,931.47,10.757190247673032,129,77.67441860465117,Allahabad,7.220697674418605
35,87,11821.0,1235.77,9.565695881919774,133,88.8796992481203,Allahabad,9.291503759398497
36,89,8694.0,855.9100000000001,10.157610029091844,127,68.45669291338582,Allahabad,6.739448818897638
37,90,8898.0,1036.2400000000002,8.58681386551378,128,69.515625,Allahabad,8.095625000000002
38,93,6380.0,451.06,14.144459717110806,99,64.44444444444444,Allahabad,4.556161616161616
39,95,6182.0,724.5,8.532781228433402,126,49.06349206349206,Allahabad,5.75
40,97,4840.0,216.84,22.320605054418003,64,75.625,Allahabad,3.388125
41,99,3750.0,201.16,18.641877112746073,74,50.67567567567568,Allahabad,2.7183783783783784
42,100,11090.0,1220.97,9.082942250833353,127,87.32283464566929,Allahabad,9.613937007874016
43,115,21347.0,1007.31,21.19208585241882,132,161.71969696969697,Allahabad,7.631136363636363
44,116,22317.0,1519.81,14.684072351149158,132,169.0681818181818,Allahabad,11.513712121212121
45,130,15784.0,1019.8,15.477544616591489,132,119.57575757575758,Allahabad,7.725757575757576
46,131,673.0,82.85,8.12311406155703,8,84.125,Allahabad,10.35625
47,135,19965.0,1483.29,13.459943773638331,131,152.40458015267177,Allahabad,11.322824427480915
48,145,16002.0,1208.4500000000003,13.241755968389256,118,135.61016949152543,Allahabad,10.241101694915256
49,147,4554.0,425.71,10.697423128420757,110,41.4,Allahabad,3.870090909090909
50,148,5500.0,609.98,9.016689071772845,130,42.30769230769231,Bareilly,4.692153846153846
51,149,3919.0,466.19000000000005,8.406443724661617,124,31.60483870967742,Bareilly,3.759596774193549
52,152,4509.0,578.71,7.79146722883655,128,35.2265625,Bareilly,4.521171875
53,154,7437.0,850.35,8.745810548597635,125,59.496,Bareilly,6.8028
54,156,5602.0,697.97,8.026132928349355,129,43.42635658914729,Bareilly,5.41062015503876
55,157,4799.0,520.106,9.22696527246369,109,44.027522935779814,Bareilly,4.771614678899082
56,158,9399.0,924.3199999999999,10.168556344123248,130,72.3,Bareilly,7.110153846153846
57,160,7096.0,885.0400000000001,8.017716713368886,128,55.4375,Bareilly,6.914375000000001
58,161,3332.0,310.0,10.748387096774193,48,69.41666666666667,Bareilly,6.458333333333333
59,162,11216.0,1035.1000000000001,10.835668051395999,131,85.61832061068702,Bareilly,7.901526717557253
60,163,5604.0,554.656,10.103559683840075,143,39.18881118881119,Bareilly,3.8787132867132863
61,164,4149.0,559.97,7.409325499580334,125,33.192,Bareilly,4.479760000000001
62,165,6358.0,595.0,10.685714285714285,125,50.864,Bareilly,4.76
63,166,9649.0,809.96,11.912933972048002,124,77.81451612903226,Bareilly,6.531935483870968
64,170,10461.0,879.9000000000001,11.888851005796113,130,80.46923076923076,Bareilly,6.768461538461539
65,172,7374.0,776.1700000000001,9.50049602535527,131,56.29007633587786,Bareilly,5.9249618320610695
66,176,7485.0,769.96,9.721284222557015,133,56.278195488721806,Bareilly,5.789172932330827
67,178,12812.0,964.8,13.279436152570481,131,97.80152671755725,Bareilly,7.364885496183206
68,179,11651.0,875.197,13.312431372593828,143,81.47552447552448,Bareilly,6.120258741258741
69,180,14120.0,1179.98,11.966304513635825,129,109.45736434108527,Bareilly,9.147131782945737
70,182,11652.0,984.95,11.830042134118482,128,91.03125,Bareilly,7.694921875
71,183,12848.0,1065.43,12.058980880958861,126,101.96825396825396,Bareilly,8.455793650793652
72,184,14831.0,1266.76,11.707821528939974,131,113.21374045801527,Bareilly,9.669923664122138
73,187,13350.0,1109.47,12.032772404841952,133,100.37593984962406,Bareilly,8.341879699248121
74,189,12078.0,1045.92,11.547728315741164,128,94.359375,Bareilly,8.17125
75,194,12350.0,703.0,17.56756756756757,144,85.76388888888889,Bareilly,4.881944444444445
76,198,13920.0,1129.92,12.319456244689889,133,104.66165413533835,Bareilly,8.49563909774436
77,199,12740.0,1092.17,11.664850710054294,132,96.51515151515152,Bareilly,8.274015151515153
78,200,14380.0,1241.7,11.580897157123298,133,108.1203007518797,Bareilly,9.33609022556391
79,203,8000.0,459.82599999999996,17.397885287043362,123,65.04065040650407,Bareilly,3.738422764227642
80,206,11370.0,979.97,11.602395991714031,129,88.13953488372093,Bareilly,7.596666666666667
81,210,10701.0,929.99,11.50657533951978,129,82.95348837209302,Bareilly,7.209224806201551
82,211,12919.0,1124.99,11.483657632512289,130,99.37692307692308,Bareilly,8.65376923076923
83,212,14387.0,640.0,22.4796875,137,105.01459854014598,Bareilly,4.671532846715328
85,219,13775.0,1142.844,12.053263612531543,144,95.65972222222223,Bareilly,7.936416666666667
86,226,13634.0,1195.02,11.409014075078241,130,104.87692307692308,Bareilly,9.192461538461538
87,229,6200.0,500.03999999999996,12.399008079353653,120,51.666666666666664,Bareilly,4.167
88,230,1204.0,140.0,8.6,95,12.673684210526316,Bareilly,1.4736842105263157
89,231,7754.0,678.9399999999999,11.420744101098773,130,59.646153846153844,Bareilly,5.222615384615384
90,232,11928.0,1225.01,9.737063370911258,131,91.05343511450381,Moradabad,9.351221374045801
91,238,9415.0,970.8400000000001,9.697787483004408,132,71.32575757575758,Moradabad,7.354848484848486
92,246,11133.0,1208.8700000000001,9.209426985531943,131,84.98473282442748,Moradabad,9.228015267175573
93,254,10760.0,1067.8600000000001,10.076227220796733,123,87.47967479674797,Moradabad,8.68178861788618
94,259,4150.0,440.0,9.431818181818182,102,40.68627450980392,Moradabad,4.313725490196078
96,272,3624.0,442.23699999999997,8.194701031347446,83,43.66265060240964,Moradabad,5.328156626506024
97,277,8745.0,805.771,10.85295946366896,138,63.369565217391305,Moradabad,5.838920289855072
98,278,6508.0,491.15899999999993,13.2502916570805,143,45.51048951048951,Moradabad,3.434678321678321
99,280,6039.0,490.908,12.301694003764453,135,44.733333333333334,Moradabad,3.636355555555556
100,295,7388.0,670.0,11.026865671641792,137,53.92700729927007,Moradabad,4.890510948905109
101,308,12946.0,1168.88,11.07555950995825,129,100.35658914728683,Moradabad,9.06108527131783
102,312,1883.0,360.26,5.226780658413368,47,40.06382978723404,Gorakhpur,7.665106382978723
103,316,4007.0,515.83,7.76806312157106,122,32.84426229508197,Gorakhpur,4.228114754098361
104,320,9541.0,1100.02,8.673478664024291,128,74.5390625,Gorakhpur,8.59390625
105,332,12828.0,190.0,67.51578947368421,138,92.95652173913044,Gorakhpur,1.3768115942028984
106,333,373.0,79.0,4.7215189873417724,38,9.81578947368421,Gorakhpur,2.0789473684210527
107,340,17981.0,1237.4499999999998,14.530688108610452,131,137.25954198473283,Gorakhpur,9.446183206106868
108,342,5995.0,170.73,35.11392256779711,42,142.73809523809524,Gorakhpur,4.0649999999999995
109,343,12827.0,621.337,20.64419147741081,145,88.46206896551725,Gorakhpur,4.28508275862069
110,350,13723.0,1149.95,11.933562328796905,129,106.37984496124031,Gorakhpur,8.914341085271317
111,353,13619.0,1143.26,11.912425869880867,127,107.23622047244095,Gorakhpur,9.002047244094488
113,358,9994.0,199.69400000000002,50.046571254018644,133,75.14285714285714,Gorakhpur,1.5014586466165414
114,360,3119.0,210.0,14.852380952380953,121,25.776859504132233,Gorakhpur,1.7355371900826446
115,366,15440.0,1004.04,15.377873391498348,131,117.86259541984732,Jhansi,7.66442748091603
118,397,469.0,80.0,5.8625,19,24.68421052631579,Jhansi,4.2105263157894735
119,398,463.0,80.0,5.7875,49,9.448979591836734,Jhansi,1.6326530612244898
120,405,2192.0,234.784,9.33624097042388,143,15.328671328671328,Jhansi,1.6418461538461537
121,406,6591.0,794.0,8.301007556675064,143,46.09090909090909,Kanpur Nagar,5.5524475524475525
122,413,5626.0,699.56,8.042197952999029,128,43.953125,Kanpur Nagar,5.4653125
123,415,8522.0,905.27,9.413766058744905,127,67.10236220472441,Kanpur Nagar,7.128110236220472
124,416,7757.0,874.97,8.865446815319382,128,60.6015625,Kanpur Nagar,6.835703125
125,419,16156.0,1447.23,11.16339489922127,132,122.39393939393939,Kanpur Nagar,10.963863636363637
126,439,8935.0,721.16,12.38976094070664,126,70.91269841269842,Kanpur Nagar,5.723492063492063
127,440,12885.0,1338.95,9.623212218529444,133,96.8796992481203,Kanpur Nagar,10.067293233082706
128,441,11957.0,1231.87,9.706381355175466,129,92.68992248062015,Kanpur Nagar,9.549379844961239
129,444,6684.0,735.0,9.093877551020409,124,53.903225806451616,Kanpur Nagar,5.92741935483871
130,445,5393.0,797.9100000000001,6.758907646225764,125,43.144,Kanpur Nagar,6.383280000000001
131,447,8839.0,877.94,10.067886188122195,129,68.51937984496124,Kanpur Nagar,6.805736434108527
132,458,24897.0,1659.9299999999998,14.99882525166724,132,188.61363636363637,Kanpur Nagar,12.575227272727272
133,470,50127.0,380.0,131.91315789473686,136,368.58088235294116,Lucknow,2.7941176470588234
134,473,9946.0,903.1,11.013176835344924,130,76.50769230769231,Lucknow,6.946923076923077
136,485,6262.0,465.0,13.466666666666667,120,52.18333333333333,Lucknow,3.875
138,496,16816.0,1530.88,10.98453177257525,133,126.43609022556392,Lucknow,11.510375939849625
139,504,13857.0,1224.36,11.317749681466236,131,105.77862595419847,Lucknow,9.346259541984733
140,508,9476.0,927.8199999999999,10.21318790282598,121,78.31404958677686,Lucknow,7.66793388429752
141,519,24273.0,1762.9199999999998,13.768633857463755,134,181.1417910447761,Lucknow,13.156119402985073
142,526,20727.0,1784.3100000000002,11.616255022950046,133,155.8421052631579,Lucknow,13.415864661654137
143,535,6743.0,953.9200000000001,7.068726937269372,132,51.083333333333336,Meerut,7.2266666666666675
144,536,5038.0,660.03,7.632986379406997,127,39.669291338582674,Meerut,5.197086614173228
145,537,4734.0,539.95,8.767478470228724,131,36.13740458015267,Meerut,4.12175572519084
146,544,6670.0,589.98,11.30546798196549,124,53.79032258064516,Meerut,4.7579032258064515
147,547,13485.0,1384.79,9.737938604409333,131,102.93893129770993,Meerut,10.57091603053435
148,549,8552.0,945.0,9.049735449735449,129,66.29457364341086,Meerut,7.325581395348837
149,550,8368.0,926.05,9.03622914529453,132,63.39393939393939,Meerut,7.015530303030303
150,551,8178.0,897.53,9.111673147415685,133,61.48872180451128,Meerut,6.748345864661654
151,552,7472.0,866.18,8.626382507100141,130,57.47692307692308,Meerut,6.662923076923077
152,555,11883.0,1294.78,9.17762090857134,132,90.02272727272727,Meerut,9.808939393939394
153,560,10459.0,910.05,11.49277512224603,131,79.83969465648855,Meerut,6.946946564885496
154,561,7840.0,704.0200000000001,11.136047271384335,130,60.30769230769231,Meerut,5.415538461538462
155,563,1413.0,120.0,11.775,90,15.7,Meerut,1.3333333333333333
156,564,12702.0,1105.1,11.4939824450276,129,98.46511627906976,Meerut,8.566666666666666
157,565,13520.0,1184.0,11.41891891891892,131,103.20610687022901,Meerut,9.038167938931299
158,566,13137.0,1094.95,11.997808119092195,128,102.6328125,Meerut,8.554296875
159,567,9574.0,870.02,11.004344727707409,129,74.21705426356588,Meerut,6.7443410852713175
160,574,18702.0,1399.28,13.365445086044252,132,141.6818181818182,Meerut,10.60060606060606
161,575,15358.0,1134.97,13.531635197406098,127,120.92913385826772,Meerut,8.936771653543307
162,579,13266.0,1145.03,11.585722644821534,130,102.04615384615384,Meerut,8.807923076923077
163,581,13135.0,1092.04,12.027947694223656,128,102.6171875,Meerut,8.5315625
164,584,857.0,115.0,7.452173913043478,11,77.9090909090909,Meerut,10.454545454545455
165,588,13636.0,1114.68,12.23310725948254,130,104.8923076923077,Meerut,8.57446153846154
166,592,13667.0,1140.8,11.980189340813464,130,105.13076923076923,Meerut,8.775384615384615
167,594,6179.0,565.02,10.93589607447524,133,46.45864661654135,Meerut,4.248270676691729
168,596,7975.0,889.86,8.962083923313779,131,60.87786259541985,Varanasi,6.792824427480916
169,599,6645.0,205.0,32.41463414634146,142,46.79577464788732,Varanasi,1.443661971830986
170,601,5941.0,660.0,9.001515151515152,125,47.528,Varanasi,5.28
171,605,267.0,65.0,4.107692307692307,103,2.592233009708738,Varanasi,0.6310679611650486
172,607,8290.0,1074.01,7.718736324615227,127,65.2755905511811,Varanasi,8.456771653543306
173,609,16035.0,1546.79,10.366630247157016,131,122.40458015267176,Varanasi,11.807557251908397
174,612,10241.0,1124.25,9.10918390037803,132,77.58333333333333,Varanasi,8.517045454545455
175,613,10543.0,1060.19,9.944443920429357,129,81.72868217054264,Varanasi,8.218527131782945
176,614,9103.0,994.8199999999999,9.15039906716793,128,71.1171875,Varanasi,7.7720312499999995
177,617,8075.0,890.0799999999999,9.07221822757505,130,62.11538461538461,Varanasi,6.8467692307692305
178,619,12183.0,1149.88,10.59501861063763,125,97.464,Varanasi,9.19904
179,620,5522.0,940.9200000000001,5.868724227351953,130,42.47692307692308,Varanasi,7.237846153846155
180,621,4447.0,551.86,8.05820316747001,59,75.37288135593221,Varanasi,9.353559322033899
181,622,2247.0,309.97,7.249088621479498,42,53.5,Varanasi,7.380238095238096
182,623,7396.0,784.9100000000001,9.422736364678752,131,56.458015267175576,Varanasi,5.991679389312978
183,631,12635.0,1028.83,12.280940485794543,130,97.1923076923077,Varanasi,7.914076923076922
184,634,12040.0,1034.1299999999999,11.642636805817451,131,91.90839694656489,Varanasi,7.89412213740458
187,641,14673.0,1229.19,11.937129329070363,130,112.86923076923077,Varanasi,9.455307692307693
188,642,1170.0,159.8,7.321652065081351,19,61.578947368421055,Varanasi,8.410526315789474
189,643,13791.0,1157.62,11.91323577685251,131,105.27480916030534,Varanasi,8.83679389312977
190,646,16650.0,1463.87,11.37396080253028,133,125.18796992481202,Varanasi,11.006541353383458
191,647,14470.0,1246.33,11.610087216066372,123,117.64227642276423,Varanasi,10.132764227642276
192,666,13665.0,1057.9099999999999,12.916977814747948,133,102.74436090225564,Firozabad,7.954210526315788
194,676,19956.0,760.06,26.255821908796676,130,153.5076923076923,Firozabad,5.846615384615384
195,677,21468.0,520.24,41.26556973704444,129,166.41860465116278,Firozabad,4.032868217054264
196,679,1252.0,80.0,15.65,81,15.45679012345679,Firozabad,0.9876543209876543
197,681,9548.0,1020.9369999999999,9.35219313238721,146,65.3972602739726,Mainpuri,6.992719178082191
198,682,12299.0,1048.5500000000002,11.729531257450763,128,96.0859375,Mainpuri,8.191796875000001
199,683,12720.0,1304.1,9.753853232114102,132,96.36363636363636,Mainpuri,9.879545454545454
200,687,12234.0,1217.07,10.052010155537479,133,91.98496240601504,Mainpuri,9.150902255639098
201,690,9566.0,1005.8800000000001,9.51008072533503,128,74.734375,Mainpuri,7.858437500000001
202,704,16372.0,1370.99,11.941735534176033,131,124.97709923664122,Mainpuri,10.46557251908397
203,706,13765.0,1194.85,11.520274511444953,128,107.5390625,Mainpuri,9.334765625
204,713,10803.0,982.001,11.001007127283986,127,85.06299212598425,Aligarh,7.732291338582677
205,716,11235.0,1169.87,9.603631172694403,128,87.7734375,Aligarh,9.139609375
206,717,15785.0,1639.02,9.630754963331746,131,120.49618320610686,Aligarh,12.511603053435115
207,720,22080.0,1209.8899999999999,18.249592938200994,129,171.1627906976744,Aligarh,9.378992248062014
208,726,8808.0,885.0,9.952542372881355,127,69.35433070866142,Aligarh,6.968503937007874
209,736,13096.0,1157.05,11.318439134004581,134,97.73134328358209,Aligarh,8.634701492537314
210,745,12566.0,1076.3700000000001,11.67442422215409,129,97.4108527131783,Aligarh,8.343953488372094
211,750,44455.0,1264.26,35.16286206951102,132,336.780303030303,Aligarh,9.577727272727273
212,759,12810.0,1032.94,12.401494762522509,130,98.53846153846153,Aligarh,7.945692307692308
213,760,13945.0,1156.99,12.052826731432424,128,108.9453125,Aligarh,9.038984375
214,761,13740.0,1045.06,13.147570474422523,127,108.18897637795276,Aligarh,8.228818897637796
215,762,12059.0,1030.93,11.697205435868584,132,91.35606060606061,Aligarh,7.810075757575758
216,764,16116.0,1421.9999999999998,11.333333333333336,132,122.0909090909091,Aligarh,10.772727272727272
217,765,14230.0,1206.9,11.790537741320739,129,110.31007751937985,Aligarh,9.355813953488372
218,771,12545.0,1053.65,11.90623072177668,132,95.03787878787878,Aligarh,7.982196969696971
219,775,16160.0,1374.27,11.758970216915163,131,123.3587786259542,Aligarh,10.490610687022901
221,779,13505.0,1160.06,11.641639225557299,130,103.88461538461539,Auraiya,8.923538461538461
222,781,13178.0,1123.1399999999999,11.733176629805724,131,100.59541984732824,Auraiya,8.57358778625954
223,786,8193.0,849.1199999999999,9.64881288863765,125,65.544,Banda,6.792959999999999
224,789,6551.0,133.127,49.20865038647306,83,78.92771084337349,Banda,1.6039397590361446
225,798,12616.0,1053.09,11.979982717526518,124,101.74193548387096,Banda,8.49266129032258
226,802,2686.0,279.24,9.61896576421716,35,76.74285714285715,Banda,7.978285714285715
227,804,8374.0,279.945,29.913018628659202,101,82.91089108910892,Banda,2.771732673267327
228,810,2527.0,119.0,21.235294117647058,43,58.76744186046512,Banda,2.7674418604651163
229,812,14581.0,1221.11,11.940775196337759,132,110.46212121212122,Banda,9.250833333333333
230,817,4900.0,230.0,21.304347826086957,101,48.51485148514851,Banda,2.277227722772277
231,818,13818.0,1163.12,11.88011555127588,130,106.29230769230769,Banda,8.947076923076922
232,819,14636.0,1236.2,11.839508170198997,133,110.04511278195488,Banda,9.294736842105264
233,821,11643.0,1045.6499999999999,11.134700903744084,122,95.43442622950819,Banda,8.57090163934426
234,823,5506.0,182.079,30.2396212632978,92,59.84782608695652,Banda,1.9791195652173914
235,827,13230.0,1122.74,11.783672087927748,128,103.359375,Basti,8.77140625
236,839,17537.0,1109.2,15.810494049765596,132,132.8560606060606,Basti,8.403030303030304
237,845,17683.0,1168.3700000000001,15.134760392683823,130,136.02307692307693,Basti,8.98746153846154
238,849,16694.0,1197.91,13.93593842609211,128,130.421875,Basti,9.358671875
239,851,13642.0,1066.01,12.797253309068395,122,111.81967213114754,Basti,8.737786885245901
240,852,15525.0,1298.16,11.959234608985025,131,118.5114503816794,Basti,9.909618320610688
241,853,5410.0,450.0,12.022222222222222,113,47.876106194690266,Basti,3.982300884955752
242,855,12433.0,182.725,68.0421398276098,142,87.55633802816901,Gonda,1.2867957746478873
243,862,1817.0,79.80000000000001,22.76942355889724,146,12.445205479452055,Gonda,0.5465753424657535
244,863,15774.0,1348.9399999999998,11.693626106424306,134,117.71641791044776,Gonda,10.066716417910447
245,871,13274.0,983.107,13.50209082022608,144,92.18055555555556,Gonda,6.827131944444444
246,879,11467.0,600.289,19.10246564571398,140,81.90714285714286,Gonda,4.287778571428571
247,883,9090.0,169.853,53.516864582904034,126,72.14285714285714,Gonda,1.3480396825396825
248,888,11122.0,842.265,13.204870201183713,136,81.77941176470588,Gonda,6.193125
249,897,10967.0,974.76,11.25097459887562,120,91.39166666666667,Gonda,8.123
250,898,8626.0,952.0,9.0609243697479,131,65.8473282442748,Faizabad,7.267175572519084
251,906,12604.0,1028.48,12.254978220286247,129,97.70542635658914,Faizabad,7.9727131782945735
252,911,13945.0,1131.05,12.329251580389904,132,105.64393939393939,Faizabad,8.568560606060606
253,912,13973.0,1218.92,11.463426639976372,130,107.48461538461538,Faizabad,9.376307692307693
